;ART_original_firstorder_10Percentile;ART_original_firstorder_90Percentile;ART_original_firstorder_Energy;ART_original_firstorder_Entropy;ART_original_firstorder_InterquartileRange;ART_original_firstorder_Kurtosis;ART_original_firstorder_Maximum;ART_original_firstorder_Mean;ART_original_firstorder_MeanAbsoluteDeviation;ART_original_firstorder_Median;ART_original_firstorder_Minimum;ART_original_firstorder_Range;ART_original_firstorder_RobustMeanAbsoluteDeviation;ART_original_firstorder_RootMeanSquared;ART_original_firstorder_Skewness;ART_original_firstorder_TotalEnergy;ART_original_firstorder_Uniformity;ART_original_firstorder_Variance;ART_original_glcm_Autocorrelation;ART_original_glcm_ClusterProminence;ART_original_glcm_ClusterShade;ART_original_glcm_ClusterTendency;ART_original_glcm_Contrast;ART_original_glcm_Correlation;ART_original_glcm_DifferenceAverage;ART_original_glcm_DifferenceEntropy;ART_original_glcm_DifferenceVariance;ART_original_glcm_Id;ART_original_glcm_Idm;ART_original_glcm_Idmn;ART_original_glcm_Idn;ART_original_glcm_Imc1;ART_original_glcm_Imc2;ART_original_glcm_InverseVariance;ART_original_glcm_JointAverage;ART_original_glcm_JointEnergy;ART_original_glcm_JointEntropy;ART_original_glcm_MCC;ART_original_glcm_MaximumProbability;ART_original_glcm_SumAverage;ART_original_glcm_SumEntropy;ART_original_glcm_SumSquares;ART_original_gldm_DependenceEntropy;ART_original_gldm_DependenceNonUniformity;ART_original_gldm_DependenceNonUniformityNormalized;ART_original_gldm_DependenceVariance;ART_original_gldm_GrayLevelNonUniformity;ART_original_gldm_GrayLevelVariance;ART_original_gldm_HighGrayLevelEmphasis;ART_original_gldm_LargeDependenceEmphasis;ART_original_gldm_LargeDependenceHighGrayLevelEmphasis;ART_original_gldm_LargeDependenceLowGrayLevelEmphasis;ART_original_gldm_LowGrayLevelEmphasis;ART_original_gldm_SmallDependenceEmphasis;ART_original_gldm_SmallDependenceHighGrayLevelEmphasis;ART_original_gldm_SmallDependenceLowGrayLevelEmphasis;ART_original_glrlm_GrayLevelNonUniformity;ART_original_glrlm_GrayLevelNonUniformityNormalized;ART_original_glrlm_GrayLevelVariance;ART_original_glrlm_HighGrayLevelRunEmphasis;ART_original_glrlm_LongRunEmphasis;ART_original_glrlm_LongRunHighGrayLevelEmphasis;ART_original_glrlm_LongRunLowGrayLevelEmphasis;ART_original_glrlm_LowGrayLevelRunEmphasis;ART_original_glrlm_RunEntropy;ART_original_glrlm_RunLengthNonUniformity;ART_original_glrlm_RunLengthNonUniformityNormalized;ART_original_glrlm_RunPercentage;ART_original_glrlm_RunVariance;ART_original_glrlm_ShortRunEmphasis;ART_original_glrlm_ShortRunHighGrayLevelEmphasis;ART_original_glrlm_ShortRunLowGrayLevelEmphasis;ART_original_glszm_GrayLevelNonUniformity;ART_original_glszm_GrayLevelNonUniformityNormalized;ART_original_glszm_GrayLevelVariance;ART_original_glszm_HighGrayLevelZoneEmphasis;ART_original_glszm_LargeAreaEmphasis;ART_original_glszm_LargeAreaHighGrayLevelEmphasis;ART_original_glszm_LargeAreaLowGrayLevelEmphasis;ART_original_glszm_LowGrayLevelZoneEmphasis;ART_original_glszm_SizeZoneNonUniformity;ART_original_glszm_SizeZoneNonUniformityNormalized;ART_original_glszm_SmallAreaEmphasis;ART_original_glszm_SmallAreaHighGrayLevelEmphasis;ART_original_glszm_SmallAreaLowGrayLevelEmphasis;ART_original_glszm_ZoneEntropy;ART_original_glszm_ZonePercentage;ART_original_glszm_ZoneVariance;ART_original_ngtdm_Busyness;ART_original_ngtdm_Coarseness;ART_original_ngtdm_Complexity;ART_original_ngtdm_Contrast;ART_original_ngtdm_Strength;ART_original_shape_Elongation;ART_original_shape_Flatness;ART_original_shape_LeastAxisLength;ART_original_shape_MajorAxisLength;ART_original_shape_Maximum2DDiameterColumn;ART_original_shape_Maximum2DDiameterRow;ART_original_shape_Maximum2DDiameterSlice;ART_original_shape_Maximum3DDiameter;ART_original_shape_MeshVolume;ART_original_shape_MinorAxisLength;ART_original_shape_Sphericity;ART_original_shape_SurfaceArea;ART_original_shape_SurfaceVolumeRatio;ART_original_shape_VoxelVolume
10_CCK;211;367;301510584;3,26882566;99;2,320545469;433;291,1739513;51,23094743;295;100;333;39,36661451;297,3978197;-0,21714546;2412084672;0,114630995;3663,193267;72,50885412;871,3480572;-18,01039433;20,09462489;2,662969932;0,765165864;1,170660965;1,978009065;1,249577822;0,58791108;0,547425483;0,987197445;0,927591607;-0,219562109;0,856426498;0,463604015;8,255151721;0,025246569;5,755808791;0,782304778;0,06185874;16,51030344;4,118292643;5,689398705;7,026544256;257,4752127;0,075528076;16,88416759;390,7770607;5,923481929;72,74655324;71,55910824;5711,649457;1,341794722;0,025169422;0,072205364;4,832360431;0,003421517;288,937176;0,112442312;6,015350766;71,54193573;2,330950524;175,3544972;0,052863507;0,026819728;4,327772383;1609,817464;0,621582857;0,754067288;0,533863752;0,815059108;57,77382206;0,022915813;18,19248826;0,085410743;10,61707333;64,87793427;4154,511737;339944,7183;65,12647564;0,062404436;59,15023474;0,277700633;0,542402463;34,85320709;0,035422399;5,740306046;0,062481666;3898,36148;2,42354941;0,003594887;61,1842433;0,051188489;0,236346866;0,823635235;0,496482433;25,01581322;50,38609941;52;62,48199741;52,15361924;67,05221846;27028,66667;41,49976685;0,585506166;7438,791736;0,275218598;27272
11_CCK;260,1;894;732384007;5,23058274;408,75;2,690676177;1591;571,6647184;209,7702198;559,5;116;1475;161,0317237;623,8204627;0,413103535;5859072056;0,02942638;62351,41947;409,3971989;231071,0702;1814,883176;304,414408;76,45508247;0,597676961;6,595553757;4,15146564;31,74147114;0,245161757;0,156114522;0,980341802;0,907046514;-0,151640282;0,884090743;0,161509301;18,77102762;0,00164554;9,600064397;0,698135633;0,006289285;37,54205524;6,026112077;95,21737261;7,127710545;503,618491;0,267597498;1,657880858;55,38044633;99,78223502;475,6105207;6,557917109;2340,109989;0,081927742;0,010481826;0,463757085;259,0058811;0,004544494;52,4287164;0,029221945;99,74439988;480,9607205;1,154987406;536,9723705;0,01227007;0,010403832;5,487484699;1638,116355;0,912697587;0,953322979;0,053981249;0,965234156;467,9847485;0,009982792;29,18518519;0,0284456;100,6835883;547,8040936;8,469785575;2548,420078;0,112766873;0,00993015;485,0838207;0,472791248;0,714711324;417,4301406;0,00699196;6,68161095;0,545164718;5,105099765;0,230812539;0,004773006;5124,172565;0,302575935;5,604414179;0,829879309;0,727243172;24,6598828;33,90871684;38,41874542;38,83297568;35,38361203;40,24922359;14893;28,14014251;0,719555496;4068,253028;0,273165449;15056
12_CCK;178;248;383254281;2,190774473;38;2,985564366;386;213,7312909;22,00839519;216;120;266;16,1147907;215,4299438;-0,063097046;3066034248;0,248866611;728,9959717;26,41617209;51,97593233;-1,13011759;4,427504128;0,628673022;0,751409755;0,501009619;1,221886173;0,370240459;0,76833287;0,76192446;0,995721809;0,962137233;-0,294838534;0,843667311;0,410004221;5,046421792;0,101268919;3,751548357;0,767457456;0,170215906;10,09284358;3,062501267;1,264044287;6,648540711;397,456527;0,048129877;32,64640314;2055,14047;1,245828275;26,99733592;221,817147;5890,446839;10,31477732;0,046574072;0,018714857;0,555453646;0,001053648;1030,392972;0,24511266;1,317540927;27,27671545;6,458119778;171,75701;0,299394177;0,046742562;4,169114332;1545,333342;0,359117711;0,509464016;2,317507014;0,605404015;16,63555099;0,028393045;16,9223301;0,164294467;4,214157791;32,41747573;149184,8738;4116221,359;6004,035287;0,064209137;28,70873786;0,27872561;0,542797476;17,61032554;0,038604248;4,933633173;0,012472754;142756,8821;7,942434967;0,001454911;26,09240302;0,006964724;0,119681414;0,770205781;0,651491995;39,53382088;60,68197493;73,430239;71,55417528;56,92099788;76,34133874;65758,33333;46,73760788;0,681253888;11564,9119;0,175869906;66064
13_CCK;67;111;125129137;1,667666956;22;3,958597742;193;88,07737056;13,92356147;87;12;181;9,311900673;89,93319686;0,460702351;1001033096;0,388446241;330,3566924;16,64609559;13,95605912;1,080849085;1,925444765;0,43858534;0,628714074;0,392810979;1,061322395;0,280450432;0,810987508;0,80816801;0,993321513;0,956857138;-0,228417843;0,714480766;0,354960201;4,034150633;0,213610124;2,90828375;0,634609348;0,409330813;8,068301266;2,412139287;0,591007526;6,068852675;668,8381488;0,043231733;39,68143862;6009,6518;0,610089279;16,97776485;291,1901622;4675,204641;19,93971834;0,069142604;0,01391593;0,26691348;0,001178977;2048,646206;0,30890059;0,833244881;17,76482613;10,32559586;168,0670232;0,701052717;0,070106826;4,10864042;2035,471534;0,300517402;0,428498978;4,461194951;0,549515645;10,13403812;0,039043136;27,62411348;0,195915698;2,829435139;19,80851064;625466,7305;10165435,44;40199,62365;0,111828473;30,34751773;0,215230622;0,463462775;9,67984593;0,048807457;5,03326299;0,009113826;613427,5051;35,59268194;0,000629948;9,558312723;0,007126891;0,019181102;0,821392633;0,504897151;38,83672448;76,92007057;73,37574531;86;87,93179175;88,83692926;123386;63,18157931;0,696492661;17208,57214;0,139469406;123768
14_CCK;110;166;19822886;1,954441446;31;3,768350151;189;140,0040609;18,26353475;144;49;140;12,77059926;141,8617544;-0,789969774;158583088;0,304895256;523,6202881;26,91314585;29,15048726;-3,278375091;2,872105057;0,652870231;0,626037452;0,549282598;1,215517303;0,341344522;0,742395201;0,735717464;0,987187391;0,932770789;-0,209363113;0,723847968;0,46079775;5,133929952;0,127984273;3,420315349;0,663701063;0,210675569;10,2678599;2,717506323;0,881243822;5,952243565;55,70050761;0,056548739;23,78469324;300,3218274;0,959762942;27,27614213;159,3593909;4485,39797;6,264930356;0,045425389;0,023304644;0,517990087;0,002419257;162,4297606;0,279882533;1,123970463;26,77972207;4,280471422;117,9242368;0,182845126;0,048756243;3,626005146;254,138036;0,425648841;0,590628661;1,239863104;0,664767224;17,32343852;0,03512482;3,117647059;0,183391003;2,934256055;21,88235294;17057,82353;493279,1176;633,935896;0,125349807;3,235294118;0,190311419;0,410709252;6,537941186;0,085452607;3,572469459;0,017258883;13700,6436;2,590407022;0,009003815;9,369607362;0,01900092;0,213209302;0,922571273;0,81678809;20,12263874;24,63630283;27,20294102;28,63564213;27,78488798;30,19933774;7770,666667;22,72874526;0,840863354;2256,303681;0,290361661;7880
15_CCK;162,7;277,3;4416506;2,785195201;67,25;2,274307906;318;219,6363636;37,44421488;215,5;134;184;28,2444898;224,0258203;0,154321147;35332048;0,161157025;1947,43595;23,64580243;140,2996895;0,277552591;7,866553161;3,828183884;0,339119002;1,523249505;2,081037103;1,41087273;0,509963537;0,447309307;0,948853689;0,853102294;-0,205145129;0,80265712;0,420036519;4,755835318;0,041522119;4,886032651;0,571360446;0,089861906;9,511670636;3,298112364;2,923684261;4,847072852;12,59090909;0,143078512;4,247417355;14,18181818;3,152892562;21,40909091;23,09090909;576,1136364;1,65902293;0,130520946;0,143230314;1,741443855;0,053071416;12,22286924;0,159132548;3,210645984;21,03554567;1,514646917;32,99832688;0,178679097;0,138807319;3,263599358;59,59390259;0,770627394;0,871503497;0,172570022;0,897853141;18,52764802;0,131026146;2,764705882;0,162629758;4,581314879;15,82352941;49,52941176;1106,117647;3,774677288;0,323001951;2,882352941;0,169550173;0,398596188;1,752427388;0,237266947;3,528064312;0,193181818;22,73356401;0,580408;0,075960663;23,10520305;0,116342567;1,487784651;0,617857089;0,567883062;8,152396301;14,35576591;13,41640786;15,62049935;10,77032961;16,1245155;654,6666667;8,869811739;0,834843668;436,7428322;0,667122452;704
16_CCK;399;638;12893871554;3,990145519;133;3,997960127;883;523,2574637;78,81696725;536;51;832;54,4178359;532,8047707;-0,726467583;1,03151E+11;0,075269692;10082,5504;395,1758743;12739,45325;-316,5231937;57,30643769;6,768988686;0,788781621;1,803040207;2,493796075;3,428652079;0,50004955;0,440174901;0,994371404;0,951994506;-0,207037414;0,887469068;0,414953043;19,55859395;0,011597672;7,126030647;0,802809364;0,026849145;39,11718789;4,894505033;16,0188566;7,521704965;4174,311273;0,091904696;10,44941965;3418,749406;16,20997622;394,5441656;46,62188463;19641,4945;0,130748396;0,003527015;0,099444599;34,84077759;0,000510625;2677,135455;0,073009186;17,06199707;389,8325276;1,884850317;758,5994834;0,006235988;0,003661458;4,893751069;25265,55809;0,686926123;0,807140196;0,337698584;0,854670128;330,0995896;0,003218381;193,7088477;0,049822235;31,09866376;332,4621914;19831,17284;8457223,206;49,14424686;0,006301667;1213,769033;0,312183393;0,578115374;190,3474954;0,003598789;6,970790242;0,085601057;19694,70141;3,970841371;0,000295743;552,1678977;0,03501298;0,144913482;0,502027119;0,381963601;58,06009847;152,0042702;136,1910423;112,1605991;163,0828011;194,1648784;362698;76,31026587;0,541099951;45453,78682;0,125321305;363360
17_CCK;218;338,4;136926982;2,905590341;66;2,75251421;385;276,2621637;36,87839387;276;107;278;26,87714393;279,9613413;-0,137708443;1095415856;0,150280356;2057,569507;62,52100815;260,7877222;-2,517123401;10,1683951;2,568306669;0,595445468;1,17210658;1,953266915;1,154181465;0,581756157;0,54100806;0,98335286;0,916797059;-0,144362247;0,723759244;0,476208438;7,785751648;0,033215437;5,307809239;0,625154076;0,062061208;15,5715033;3,683019489;3,184175443;6,464770142;145,6868918;0,083392611;13,08377793;262,5397825;3,385639426;60,65769891;64,07498569;4408,930166;1,119167186;0,023736616;0,071055194;3,042701294;0,003925127;197,7104703;0,148188912;3,507939317;58,88587877;2,245861091;142,0922224;0,048163077;0,025354203;3,91735075;845,4720078;0,628601785;0,763814891;0,48874768;0,81929098;47,04597351;0,02190218;14,66;0,1466;5,3299;35,47;3767,61;244209,73;63,89596245;0,072830095;31,6;0,316;0,581246205;18,87202826;0,048874478;4,907669837;0,057240985;3462,4091;1,903605122;0,00554957;47,44590057;0,040977552;0,282773527;0,538069794;0,480286642;21,10073918;43,93363739;43,9089968;42,04759208;32,24903099;46,73328578;13822;23,63936323;0,747254627;3727,31506;0,269665393;13976
18_CCK;91;164;51274328;2,254890133;46;2,455482894;234;124,8119002;24,22477813;122;54;180;18,66396159;128,0723864;0,40728209;410194624;0,229684454;824,5257189;12,62589353;60,46564338;4,758534913;4,939713261;0,899005671;0,691419265;0,638316175;1,405763719;0,481347193;0,719751751;0,706719708;0,986660779;0,931858628;-0,222832942;0,780945728;0,451732454;3,408078211;0,085760555;3,970051784;0,703833848;0,155748033;6,816156422;3,077354476;1,459679733;6,343876207;171,0646193;0,054723167;28,15982561;717,993602;1,457285377;13,72744722;159,2571977;1657,93602;24,38943211;0,123452121;0,026499638;0,440611099;0,003498429;423,9982552;0,226857279;1,466548815;15,08316122;4,253854683;50,63345647;0,591907458;0,112800598;3,846111344;843,1495954;0,44439219;0,598085536;1,352795788;0,68624059;11,04984592;0,072317644;9,142857143;0,163265306;3,581313776;18,875;38388,57143;455012,7857;4656,040351;0,199941109;15,53571429;0,277423469;0,541504602;8,00755341;0,096096496;4,510405092;0,017914267;35272,53954;10,55273347;0,003397405;12,69936592;0,023455423;0,087468492;0,876343194;0,712230282;28,00882371;39,32551652;40,49691346;47,20169488;44,94441011;48,37354649;24811,33333;34,46264877;0,696713491;5904,683723;0,23798333;25008
19_CCK;905;1463,1;2573673925;5,182380959;278,25;3,874676093;1991;1185,782386;180,1936383;1171;587;1404;117,0176141;1209,26206;0,683808098;20589391400;0,033509814;56234,8623;657,2429712;343650,4569;3927,15454;281,4646995;68,82152838;0,606381188;6,364211043;4,058472055;26,85786155;0,244587476;0,154718519;0,98030116;0,90537581;-0,170556903;0,901278363;0,163844642;24,57723925;0,001888342;9,450641673;0,725393567;0,005833926;49,15447849;5,940026903;87,57155697;7,018487108;503,1977273;0,2859078;1,229524793;58,97727273;90,00443053;712,5636364;5,620454545;3787,297727;0,016837272;0,003728091;0,476115688;355,8978722;0,002091706;56,17469639;0,03332184;90,59319603;714,3996367;1,138895998;807,466801;0,00417515;0,003762672;5,420979402;1552,177668;0,920195238;0,957867133;0,04783405;0,968345343;693,0819627;0,003670031;30,84152457;0,030934328;99,40433336;739,337011;5,48445336;3658,062187;0,017092361;0,004270115;459,3209629;0,460703072;0,705287569;535,1806042;0,003261593;6,719740483;0,566477273;2,368183789;0,145505884;0,004796201;5442,343476;0,234522509;5,872921244;0,541026524;0,412364338;20,63547467;50,0418508;55,78530272;32,31098884;50,15974482;56,10704056;13905,66667;27,07396859;0,586318482;4769,561098;0,342994062;14080
