;PORT_original_firstorder_10Percentile;PORT_original_firstorder_90Percentile;PORT_original_firstorder_Energy;PORT_original_firstorder_Entropy;PORT_original_firstorder_InterquartileRange;PORT_original_firstorder_Kurtosis;PORT_original_firstorder_Maximum;PORT_original_firstorder_Mean;PORT_original_firstorder_MeanAbsoluteDeviation;PORT_original_firstorder_Median;PORT_original_firstorder_Minimum;PORT_original_firstorder_Range;PORT_original_firstorder_RobustMeanAbsoluteDeviation;PORT_original_firstorder_RootMeanSquared;PORT_original_firstorder_Skewness;PORT_original_firstorder_TotalEnergy;PORT_original_firstorder_Uniformity;PORT_original_firstorder_Variance;PORT_original_glcm_Autocorrelation;PORT_original_glcm_ClusterProminence;PORT_original_glcm_ClusterShade;PORT_original_glcm_ClusterTendency;PORT_original_glcm_Contrast;PORT_original_glcm_Correlation;PORT_original_glcm_DifferenceAverage;PORT_original_glcm_DifferenceEntropy;PORT_original_glcm_DifferenceVariance;PORT_original_glcm_Id;PORT_original_glcm_Idm;PORT_original_glcm_Idmn;PORT_original_glcm_Idn;PORT_original_glcm_Imc1;PORT_original_glcm_Imc2;PORT_original_glcm_InverseVariance;PORT_original_glcm_JointAverage;PORT_original_glcm_JointEnergy;PORT_original_glcm_JointEntropy;PORT_original_glcm_MCC;PORT_original_glcm_MaximumProbability;PORT_original_glcm_SumAverage;PORT_original_glcm_SumEntropy;PORT_original_glcm_SumSquares;PORT_original_gldm_DependenceEntropy;PORT_original_gldm_DependenceNonUniformity;PORT_original_gldm_DependenceNonUniformityNormalized;PORT_original_gldm_DependenceVariance;PORT_original_gldm_GrayLevelNonUniformity;PORT_original_gldm_GrayLevelVariance;PORT_original_gldm_HighGrayLevelEmphasis;PORT_original_gldm_LargeDependenceEmphasis;PORT_original_gldm_LargeDependenceHighGrayLevelEmphasis;PORT_original_gldm_LargeDependenceLowGrayLevelEmphasis;PORT_original_gldm_LowGrayLevelEmphasis;PORT_original_gldm_SmallDependenceEmphasis;PORT_original_gldm_SmallDependenceHighGrayLevelEmphasis;PORT_original_gldm_SmallDependenceLowGrayLevelEmphasis;PORT_original_glrlm_GrayLevelNonUniformity;PORT_original_glrlm_GrayLevelNonUniformityNormalized;PORT_original_glrlm_GrayLevelVariance;PORT_original_glrlm_HighGrayLevelRunEmphasis;PORT_original_glrlm_LongRunEmphasis;PORT_original_glrlm_LongRunHighGrayLevelEmphasis;PORT_original_glrlm_LongRunLowGrayLevelEmphasis;PORT_original_glrlm_LowGrayLevelRunEmphasis;PORT_original_glrlm_RunEntropy;PORT_original_glrlm_RunLengthNonUniformity;PORT_original_glrlm_RunLengthNonUniformityNormalized;PORT_original_glrlm_RunPercentage;PORT_original_glrlm_RunVariance;PORT_original_glrlm_ShortRunEmphasis;PORT_original_glrlm_ShortRunHighGrayLevelEmphasis;PORT_original_glrlm_ShortRunLowGrayLevelEmphasis;PORT_original_glszm_GrayLevelNonUniformity;PORT_original_glszm_GrayLevelNonUniformityNormalized;PORT_original_glszm_GrayLevelVariance;PORT_original_glszm_HighGrayLevelZoneEmphasis;PORT_original_glszm_LargeAreaEmphasis;PORT_original_glszm_LargeAreaHighGrayLevelEmphasis;PORT_original_glszm_LargeAreaLowGrayLevelEmphasis;PORT_original_glszm_LowGrayLevelZoneEmphasis;PORT_original_glszm_SizeZoneNonUniformity;PORT_original_glszm_SizeZoneNonUniformityNormalized;PORT_original_glszm_SmallAreaEmphasis;PORT_original_glszm_SmallAreaHighGrayLevelEmphasis;PORT_original_glszm_SmallAreaLowGrayLevelEmphasis;PORT_original_glszm_ZoneEntropy;PORT_original_glszm_ZonePercentage;PORT_original_glszm_ZoneVariance;PORT_original_ngtdm_Busyness;PORT_original_ngtdm_Coarseness;PORT_original_ngtdm_Complexity;PORT_original_ngtdm_Contrast;PORT_original_ngtdm_Strength;PORT_original_shape_Elongation;PORT_original_shape_Flatness;PORT_original_shape_LeastAxisLength;PORT_original_shape_MajorAxisLength;PORT_original_shape_Maximum2DDiameterColumn;PORT_original_shape_Maximum2DDiameterRow;PORT_original_shape_Maximum2DDiameterSlice;PORT_original_shape_Maximum3DDiameter;PORT_original_shape_MeshVolume;PORT_original_shape_MinorAxisLength;PORT_original_shape_Sphericity;PORT_original_shape_SurfaceArea;PORT_original_shape_SurfaceVolumeRatio;PORT_original_shape_VoxelVolume
10_CCK;256;362;335671262;2,830568971;61;5,944695798;461;310,4171311;35,63810341;315;62;399;25,23399476;313,7932376;-1,055295365;2685370096;0,165710389;2107,400657;124,2163131;542,0126883;-29,18525091;10,77678598;1,516497639;0,751833938;0,816385133;1,650745645;0,829988769;0,676053581;0,654974963;0,994913624;0,956545116;-0,254654347;0,858351675;0,462696792;11,0407433;0,052953078;4,838075117;0,786774934;0,103177952;22,08148659;3,653758427;3,073320904;6,874836484;193,1853916;0,056669226;24,53608118;564,9067175;3,476245691;123,2596069;122,0929891;15988,91992;1,035190305;0,011748096;0,042946559;4,655468153;0,000906382;347,4014629;0,154632682;4,016162404;120,6160172;3,363740189;427,2895251;0,034418219;0,013112144;4,292371955;1148,956577;0,504546277;0,658573459;0,95306342;0,732735378;86,87216258;0,010570033;11,45669291;0,09021018;11,68181536;102,6062992;13524,81102;1744978,488;110,3232725;0,028571642;26,52755906;0,208878418;0,460808749;45,7996832;0,011135379;5,877200313;0,037254327;12804,29016;1,043896543;0,003707426;75,07753209;0,014246014;0,559351843;0,823635235;0,496482433;25,01581322;50,38609941;52;62,48199741;52,15361924;67,05221846;27028,66667;41,49976685;0,585506166;7438,791736;0,275218598;27272
11_CCK;229;954,8;772056339;5,39809073;430,5;2,491657134;1489;576,4001063;234,0632368;546;62;1427;177,5771831;640,4934415;0,430532419;6176450712;0,026201014;77994,76606;499,1655537;369016,6752;3105,037191;371,8683462;93,19242184;0,598067826;7,349153712;4,290136612;37,58411929;0,227781891;0,140636117;0,974747945;0,894944331;-0,159436492;0,898828946;0,147938113;20,72233658;0,001392763;9,831750388;0,668143689;0,005018828;41,44467316;6,171165676;116,265192;7,15806147;557,0998937;0,296014821;1,32176975;49,31030818;124,9129829;590,3443146;5,558979809;2469,51966;0,05723094;0,008381349;0,493991299;339,1270847;0,003790759;47,06263332;0,026068629;124,7184837;596,3175521;1,132298166;655,4011514;0,009644111;0,008311682;5,626078743;1666,236429;0,922746835;0,959290444;0,045259045;0,969502719;582,4580357;0,008008283;27,74792244;0,02562135;122,1313389;675,401662;6,315789474;2530,522622;0,067923126;0,007738836;527,2437673;0,48683635;0,725467459;520,3506886;0,005491344;6,806861628;0,575451647;3,295960658;0,211201113;0,004865749;6162,285205;0,360218301;5,964812323;0,829879309;0,727243172;24,6598828;33,90871684;38,41874542;38,83297568;35,38361203;40,24922359;14893;28,14014251;0,719555496;4068,253028;0,273165449;15056
12_CCK;211;289;508007701;2,329463315;42;2,967582834;346;252,7979334;23,97451964;256;143;203;17,20332938;254,5685892;-0,469964896;4064061608;0,230760443;898,3714666;32,35270497;91,60938868;-5,601365115;5,665595231;0,644275257;0,795955771;0,512342954;1,241456187;0,373572975;0,764402931;0,756978218;0,992284169;0,949938669;-0,321464457;0,874769258;0,409953855;5,576462846;0,094304245;3,933191551;0,801315573;0,198853655;11,15292569;3,216917601;1,577467622;6,71285718;394,6310754;0,050342018;31,59794845;1808,931114;1,548974327;33,36726623;215,3890802;7378,564103;7,942820469;0,039104069;0,016413501;0,559676125;0,000724365;896,4185787;0,22118338;1,643312645;32,99421888;6,250135838;212,7221478;0,231917825;0,040355567;4,286135563;1512,105611;0,365061252;0,517040046;2,24630991;0,611709629;20,07093053;0,025132556;12,55813953;0,146024878;3,90805841;35,58139535;154645,5698;5405230,791;4912,242143;0,058735095;15,30232558;0,177934018;0,420194842;14,68119919;0,019666421;5,273527221;0,010970787;146337,0353;9,559991238;0,001722864;12,42443775;0,015283047;0,055765365;0,770795752;0,676636702;39,68065922;58,64396522;68,26419266;67,23094526;56,46237685;72,08328516;62449,33333;45,20251926;0,659897944;11535,22013;0,184713263;62712
13_CCK;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
14_CCK;130;171;19926559;1,442440942;23;3,405264435;191;152,5135773;13,07213877;155;91;100;9,460445903;153,3820188;-0,689836596;159412472;0,438950445;265,6524131;13,17415149;5,677953751;-0,844242838;1,330712234;0,393165125;0,54085801;0,362210175;1,010775432;0,258672443;0,824054071;0,821990408;0,98512459;0,94036866;-0,194952905;0,635384087;0,335124594;3,597133276;0,24843416;2,550211051;0,572426267;0,416363103;7,194266551;2,119103106;0,43096934;5,646502971;39,34710744;0,046454672;35,93756699;371,7910272;0,456319896;13,44864227;249,1251476;3392,322314;19,9754916;0,091037321;0,017697072;0,231266405;0,003469789;149,8231235;0,370453633;0,629051222;13,29574136;7,029370064;94,91993343;0,593625855;0,101135691;3,602817967;130,0162459;0,313467015;0,47688675;2,292213296;0,559073215;7,287315612;0,064322441;4,466666667;0,297777778;2,24;15,2;20704,33333;295168,7333;1554,999944;0,211722222;1,666666667;0,111111111;0,256589603;3,463580533;0,086812119;3,773557262;0,017709563;17515,84889;3,872175327;0,011851977;3,021256573;0,01331128;0,114203828;0,930080384;0,70455302;17,37724191;24,66420752;27,20294102;28,63564213;27,78488798;29,73213749;6660;22,93969561;0,825582687;2073,511111;0,311338005;6776
15_CCK;341,7;445,3;18076271;2,685307259;69,75;2,06337944;467;389,2627119;34,68198793;390,5;298;169;26,92440018;391,3933281;0,023261167;144610168;0,168198793;1663,27844;31,67542323;120,3615505;-3,300779625;7,129251428;3,285350441;0,367637057;1,407402939;2,019619678;1,236247886;0,52616685;0,470243344;0,955210815;0,862152884;-0,146809821;0,704496313;0,452865828;5,540951917;0,040654467;4,836223892;0,524208571;0,076849877;11,08190383;3,307359775;2,603650467;4,792239882;17,45762712;0,147945993;3,890261419;19,84745763;2,779445562;28,72033898;25,45762712;928,8220339;1,044042923;0,068652631;0,103709606;1,857147876;0,013739953;17,05092888;0,168030114;2,766197358;27,82070362;1,546411637;46,47767058;0,097329541;0,07238136;3,269472258;76,51183259;0,748205953;0,859843546;0,174559597;0,885757812;23,94754839;0,066926799;2,733333333;0,182222222;3,395555556;18,86666667;124,8;3924,2;5,38092602;0,153217026;1,933333333;0,128888889;0,315726776;2,651419812;0,064470855;3,773557262;0,127118644;62,91555556;0,5513942;0,060350529;21,83012581;0,093051597;1,212351537;0,890103939;0,676512223;8,88648634;13,13573656;14,4222051;13,41640786;13,41640786;15,62049935;887,6666667;11,69217085;0,849949419;525,5221003;0,592026399;944
16_CCK;484;671;15949116500;3,649790575;83;7,949214862;1027;586,5153089;63,61226739;604;45;982;35,96717318;593,7874548;-1,704495428;1,27593E+11;0,109469961;8583,333882;541,1043067;16334,69057;-523,5027973;45,06069157;7,663871693;0,709466957;1,762734287;2,487154628;4,471880995;0,524998622;0,472786939;0,995634706;0,960894546;-0,164830865;0,817050331;0,425530884;23,05979473;0,021258758;6,621098183;0,71986129;0,054525137;46,11958946;4,501980381;13,18114082;7,297334788;3459,795623;0,076484926;14,87191609;4951,873704;13,82654539;542,0112966;60,26587819;34500,85971;0,112531571;0,002431001;0,101318823;46,91296201;0,000439126;3530,135205;0,100063845;15,74163057;534,9146428;2,106373536;1164,207488;0,004697327;0,002566349;4,711220216;23211,5993;0,655978796;0,779326764;0,44455628;0,836667224;442,7750681;0,002239012;204,7278437;0,047622201;36,55329777;435,6140963;34407,97651;19808583,9;60,29545253;0,004987411;1428,333799;0,332247918;0,596857997;254,2332657;0,003289716;6,93438724;0,095037029;34297,25951;2,925609193;0,000235215;848,0951056;0,020252422;0,242164345;0,502678483;0,381309416;57,94071034;151,9519527;136,1910423;112,1605991;163,0828011;194,1648784;361219,3333;76,38297712;0,53925995;45484,83414;0,125920265;361880
17_CCK;271,9;361;139754919;2,524946203;45,25;3,360230608;405;318,6683824;27,63244918;322;146;259;19,35989226;320,5635192;-0,461854095;1118039352;0,202550822;1211,431942;71,94956411;97,85930009;-7,114301288;5,710228442;1,708724122;0,538129353;0,932958003;1,726365182;0,821015469;0,633996489;0,605928205;0,988716382;0,932187168;-0,137822393;0,683973489;0,490477202;8,422950381;0,058893643;4,583686009;0,616346301;0,119022668;16,84590076;3,23312697;1,854738141;6,341259175;90,02352941;0,066193772;18,24639922;275,4691176;2,029282007;70,57794118;84,98088235;6172,629412;1,267808214;0,016994175;0,07368265;4,438178034;0,002496073;187,0932895;0,189857726;2,258007115;69,97013808;2,559922149;183,307137;0,041093547;0,017704857;3,729482939;574,6525453;0,578052688;0,724264706;0,602984363;0,786042076;54,66059563;0,014412686;14,85416667;0,154730903;5,477430556;58,64583333;3240,395833;244141,75;44,89321275;0,035596001;31,64583333;0,329644097;0,594674241;31,28258868;0,027908027;4,765138966;0,070588235;3039,701389;1,439547332;0,006211154;39,5729211;0,026065476;0,341152871;0,52807162;0,44887466;19,36164727;43,13374976;37,20215048;43,8634244;33,10589071;47,41307836;10721;22,7777091;0,684680471;3434,153588;0,320320268;10880
18_CCK;122;278;115377036;3,230528735;91;2,245364436;334;200,3679637;49,26959218;202;24;310;37,60810686;208,7770315;-0,143617917;923016288;0,115958661;3440,527995;72,35395379;847,8765284;1,010344459;19,49680357;3,057032918;0,728944148;1,278380173;2,071427551;1,374925986;0,567166085;0,520911882;0,985274239;0,921520317;-0,190194117;0,825757268;0,449526418;8,260779855;0,022067386;5,866920107;0,738013672;0,045792212;16,52155971;4,127079903;5,638459123;6,853174476;231,7004156;0,087533213;12,57870762;306,9425765;5,566746767;78,34756328;62,44994333;4809,999244;1,174336345;0,019187717;0,058512643;4,711883485;0,001569517;236,5273609;0,11652831;5,517218989;78,64135701;2,168223114;169,4533526;0,040950854;0,019310696;4,227358165;1289,401171;0,631705945;0,76684781;0,444752448;0,821727709;64,88141332;0,015905014;9,755102041;0,099541858;9,161703457;80,03061224;6950,806122;543290,1633;110,0954;0,036850862;26,20408163;0,267388588;0,530694503;42,60679908;0,023442443;5,318692182;0,037023045;6221,254998;1,832946015;0,004650062;62,01591143;0,046353003;0,319406179;0,835723121;0,674150119;26,05560703;38,64956233;42,3792402;43,08131846;43,9089968;46,04345773;20986,66667;32,30033284;0,712509718;5164,032602;0,246062545;21176
19_CCK;1395;1894;4939827137;4,962559174;272,25;3,919947227;2169;1663,439205;159,0419596;1691;485;1684;113,1208689;1675,326823;-0,641507226;39518617096;0,037365702;39689,97699;2398,328792;123130,6633;-1871,795122;200,9645447;54,04004225;0,575472885;5,454358497;3,859914742;23,2272892;0,271297882;0,179532318;0,988989588;0,929481498;-0,160171269;0,881859028;0,188272784;48,59603517;0,002417243;9,114414843;0,671168458;0,007781837;97,19207035;5,718358132;63,75114673;6,929658828;447,9102273;0,254494447;1,506998967;65,76363636;63,70800491;2373,275;6,828409091;17123,69545;0,003564796;0,001054432;0,417313729;938,3657657;0,00079283;61,88785386;0,037028552;64,39602989;2366,272864;1,165920747;2781,637175;0,001159932;0,001087312;5,24406112;1512,502823;0,90424945;0,949737762;0,055968789;0,961692347;2270,296998;0,001070525;29,08505747;0,033431101;75,28295548;2266,06092;8,979310345;23087,93103;0,004968891;0,001678989;365,3172414;0,419904875;0,673438468;1484,487098;0,00152574;6,733415004;0,494318182;4,88682785;0,078322312;0,00522768;3485,271439;0,200262039;4,848676592;0,541026524;0,412364338;20,63547467;50,0418508;55,78530272;32,31098884;50,15974482;56,10704056;13905,66667;27,07396859;0,586318482;4769,561098;0,342994062;14080
